Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
HG03390	SL28	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03391	SL29	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03393	HG03393	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03394	SL30	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03397	HG03397	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03398	HG03398	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03399	SL26	MSL	Mende in Sierra Leone	male	Child2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03401	SL32	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03402	SL32	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	HG03376	NA	NA
HG03408	SL34	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03410	SL35	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03411	SL35	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03419	SL38	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03428	SL42	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	HG03457	NA
HG03431	HG03431	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03432	HG03432	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03433	HG03433	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03436	HG03436	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03437	HG03437	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03438	SL56	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	HG03471	NA	NA	NA
HG03439	SL46	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03442	HG03442	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03445	HG03445	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03446	HG03446	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03449	SL49	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03450	SL49	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03451	SL50	MSL	Mende in Sierra Leone	male	father	NA	NA	HG03468	NA	NA	NA	NA	NA	NA
HG03452	SL50	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03453	SL50	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03454	SL51	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	HG03457	NA
HG03455	SL51	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	HG03457	NA
HG03456	SL51	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03457	HG03457	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03458	SL52	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03459	SL52	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	HG03457	NA
HG03460	HG03460	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03461	HG03461	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03462	HG03462	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03464	SL54	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	HG03484	NA
HG03465	SL54	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03466	SL50i	MSL	Mende in Sierra Leone	male	paternal father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03468	SL50i	MSL	Mende in Sierra Leone	male	paternal brother	NA	NA	HG03451	NA	NA	NA	NA	NA	NA
HG03469	SL56i	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03470	SL56	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	HG03480, HG03484	NA
HG03471	SL56i	MSL	Mende in Sierra Leone	male	Child2	NA	NA	NA	NA	NA	HG03438	NA	NA	NA
HG03472	HG03472	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03473	SL57	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03474	SL57	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03476	SL58	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03477	SL58	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03478	SL59	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03479	SL59	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03480	SL59	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	HG03469, HG03484	NA
HG03484	SL61	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	HG03478, HG03469, HG03480	NA
HG03485	SL61	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03486	SL61	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03487	PK42	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03488	PK42	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03489	PK42	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03490	PK43	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03491	PK43	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03492	PK43	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03493	NG100	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03499	NG102	ESN	Esan in Nigeria	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03508	NG105	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03510	NG105	ESN	Esan in Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03511	NG106	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03513	NG106	ESN	Esan in Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03514	NG107	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03515	NG107	ESN	Esan in Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03516	NG107	ESN	Esan in Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03517	NG108	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03518	NG108	ESN	Esan in Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03519	NG108	ESN	Esan in Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03520	NG109	ESN	Esan in Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03521	NG109	ESN	Esan in Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03522	NG109	ESN	Esan in Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03538	GB125	GWD	Gambian in Western Division, The Gambia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03539	GB125	GWD	Gambian in Western Division, The Gambia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03540	GB125	GWD	Gambian in Western Division, The Gambia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03547	HG03547	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	HG03566	NA
HG03548	HG03548	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03549	HG03549	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03556	HG03556	MSL	Mende in Sierra Leone	male	unrels	NA	NA	NA	NA	NA	NA	NA	HG03574	NA
HG03557	HG03557	MSL	Mende in Sierra Leone	female	unrels	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03558	HG03558	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03559	SL66	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03563	SL67	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03564	SL67	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03565	HG03565	MSL	Mende in Sierra Leone	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03566	HG03566	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	HG03547	NA
HG03567	HG03567	MSL	Mende in Sierra Leone	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03569	SL69	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03571	SL70	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03572	SL70	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03574	SL71	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	HG03556	NA
HG03575	SL71	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03576	SL71	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03577	SL72	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03578	SL72	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03579	SL72	MSL	Mende in Sierra Leone	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03582	SL73	MSL	Mende in Sierra Leone	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03583	SL73	MSL	Mende in Sierra Leone	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03584	SL73	MSL	Mende in Sierra Leone	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03585	BD4	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03587	BD4	BEB	Bengali in Bangladesh	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03589	BD05	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03590	BD05	BEB	Bengali in Bangladesh	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03593	BD6	BEB	Bengali in Bangladesh	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03594	BD7	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03595	BD7	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03596	BD7	BEB	Bengali in Bangladesh	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03598	BD8	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03599	BD8	BEB	Bengali in Bangladesh	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03600	BD09	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03602	BD09	BEB	Bengali in Bangladesh	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03603	BD10	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03604	BD10	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03605	BD11	BEB	Bengali in Bangladesh	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03606	BD11	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03607	BD11	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03611	BD12	BEB	Bengali in Bangladesh	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03615	BD14	BEB	Bengali in Bangladesh	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03616	BD14	BEB	Bengali in Bangladesh	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03617	BD14	BEB	Bengali in Bangladesh	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03618	PK44	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03619	PK44	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03620	PK44	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03621	PK45	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03624	PK46	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03625	PK46	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03626	PK46	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03629	PK47	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03631	PK48	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03633	PK49	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03634	PK49	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03635	PK49	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03636	PK50	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03638	PK50	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03639	PK51	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03640	PK51	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03641	PK51	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03642	ST006	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03643	ST004	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03644	ST004	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03645	ST002	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03646	ST001	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03649	PK52	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03650	PK52	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03651	PK52	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03652	PK53	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03653	PK53	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03654	PK53	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03656	PK54	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03657	PK54	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03660	PK55	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03663	PK56	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03667	PK58	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03668	PK58	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03669	PK58	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03672	ST008	STU	Sri Lankan Tamil in the UK	male	husband of Child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03673	ST010	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03679	ST006	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03680	ST009	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03681	ST011	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03682	ST012	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03683	ST012	STU	Sri Lankan Tamil in the UK	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03684	ST012	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03685	ST013	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03686	ST014	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03687	ST015	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03688	ST016	STU	Sri Lankan Tamil in the UK	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03689	ST017	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03690	ST018	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03691	ST019	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03692	ST020	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03693	ST021	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03694	ST022	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03695	ST023	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03696	ST024	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03697	ST025	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03698	ST026	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03699	PK59	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03700	PK59	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03701	PK59	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03702	PK60	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03703	PK60	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03704	PK60	PJL	Punjabi in Lahore,Pakistan	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03705	PK61	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	HG02687	NA
HG03706	PK61	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03707	PK61	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03708	PK62	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03709	PK62	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03710	PK62	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03711	ST027	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03713	IT001	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03714	IT009	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03715	IT001	ITU	Indian Telugu in the UK	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03716	IT009	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03717	IT010	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03718	IT010	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03719	IT002	ITU	Indian Telugu in the UK	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03720	IT052	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03721	IT003	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03722	IT002	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03723	IT012	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03725	IT002	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03727	IT003	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03729	IT013	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03730	IT011	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03731	IT013	ITU	Indian Telugu in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03732	IT003	ITU	Indian Telugu in the UK	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03733	ST041	STU	Sri Lankan Tamil in the UK	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03736	ST043	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03738	ST044	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03740	ST038	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03741	ST038	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03742	IT015	ITU	Indian Telugu in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03743	ST046	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03744	ST047	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03745	ST049	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03746	ST050	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03750	ST051	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03752	ST053	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03753	ST054	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03754	ST051	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03755	ST052	STU	Sri Lankan Tamil in the UK	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03756	ST052	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03757	ST046	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03760	ST058	STU	Sri Lankan Tamil in the UK	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03761	PK63	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03762	PK63	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03763	PK63	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03765	PK64	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03766	PK64	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03767	PK65	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG03769	PK65	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
